Symbol,,Price~,Type,Strike,Expires,DTE,Bid x Size,Ask x Size,Trade,Size,Side,Premium,Volume,Open Int,IV,Delta,Code,*,Time
APLD,,13.599,Call,7,2026-01-16T16:30:00-06:00,169,7.00 x 8,7.05 x 156,7.01,314,mid,220100,1308,5506,84.52%,0.9302906436,MLET,N/A,11:25:37 ET
APLD,,13.599,Call,9,2025-08-01T16:30:00-05:00,1,4.55 x 423,4.65 x 11,4.6,195,mid,89600,706,2296,0.00%,0,AUTO,N/A,11:24:25 ET
APLD,,13.599,Call,21,2026-01-16T16:30:00-06:00,169,1.60 x 70,1.66 x 696,1.63,197,mid,32100,1369,3031,94.19%,0.3723362069,MLET,N/A,11:25:35 ET
APLD,,13.599,Call,21,2026-01-16T16:30:00-06:00,169,1.57 x 30,1.66 x 137,1.63,299,mid,48700,1369,3031,94.19%,0.3723362069,AUTO,N/A,11:26:14 ET
APLD,,13.599,Call,13,2025-08-08T16:30:00-05:00,8,1.06 x 295,1.18 x 445,1.09,200,mid,21800,3485,1761,94.28%,0.6551898463,AUTO,N/A,11:24:23 ET
APLD,,13.599,Call,21,2026-01-16T16:30:00-06:00,169,1.60 x 23,1.66 x 1016,1.63,314,mid,51100,1369,3031,94.19%,0.3723362069,MLET,N/A,11:25:37 ET
APLD,,13.575,Call,15,2025-10-17T16:30:00-05:00,78,1.90 x 5,1.96 x 365,1.93,170,mid,32800,1195,3759,95.82%,0.5068388363,AUTO,N/A,11:22:12 ET
APLD,,13.555,Put,13,2025-08-01T16:30:00-05:00,1,0.25 x 201,0.29 x 230,0.25,200,bid,5000,7818,46,164.24%,-0.2978581953,AUTO,N/A,12:16:19 ET
APLD,,13.555,Call,14.5,2025-08-01T16:30:00-05:00,1,0.15 x 219,0.19 x 152,0.19,500,ask,9500,8976,2758,173.70%,0.243658177,SLAN,N/A,12:17:36 ET
APLD,,13.555,Call,12.5,2025-08-01T16:30:00-05:00,1,0.99 x 347,1.10 x 26,1.09,199,mid,21600,3113,5612,155.37%,0.8504995996,TLET,N/A,12:16:11 ET
APLD,,13.545,Put,14,2025-08-01T16:30:00-05:00,1,0.72 x 17,0.76 x 8,0.76,310,ask,23500,1767,104,174.26%,-0.6238880707,AUTO,N/A,13:18:41 ET
APLD,,13.525,Put,14,2025-08-01T16:30:00-05:00,1,0.61 x 44,0.68 x 517,0.68,285,ask,19300,1448,104,160.13%,-0.6439201042,AUTO,N/A,13:08:17 ET
APLD,,13.5,Call,11,2025-08-08T16:30:00-05:00,8,2.34 x 162,2.43 x 15,2.38,495,mid,117800,3977,5876,97.00%,0.9337844491,MLAT,N/A,11:44:47 ET
APLD,,13.5,Call,11,2025-08-15T16:30:00-05:00,15,2.46 x 115,2.52 x 10,2.48,495,mid,122700,3941,11849,87.61%,0.8947242018,MLAT,N/A,11:44:47 ET
